Objeto,Data,GEO_ID
"IP023272165BR","05/08/2018",253
"IP023272174BR","05/08/2018",253
"IP023272188BR","05/08/2018",254
"IP023272191BR","05/08/2018",255
"IP023272205BR","05/08/2018",255
"IP023272214BR","05/08/2018",255
"IP023272228BR","05/08/2018",256
"IP023272231BR","05/08/2018",257
"IP023272245BR","05/08/2018",258
"IP023272259BR","05/08/2018",259
"IP023272262BR","05/08/2018",260
"IP023272276BR","05/08/2018",261
"IP023272280BR","05/08/2018",261
"IP023272293BR","05/08/2018",261
"IP023272302BR","05/08/2018",262
"IP023272316BR","05/08/2018",262
"IP023272320BR","05/08/2018",262
"IP023272333BR","05/08/2018",263
"IP023272347BR","05/08/2018",263
"IP023272355BR","05/08/2018",264
"IP023272364BR","05/08/2018",265
"IP023272378BR","05/08/2018",265
"IP023272381BR","05/08/2018",266
"IP023272395BR","05/08/2018",266
"IP023272404BR","05/08/2018",267
"IP023272418BR","05/08/2018",267
"IP023272421BR","05/08/2018",268
"IP023272435BR","05/08/2018",268
"IP023272449BR","05/08/2018",268
"IP023272452BR","05/08/2018",269
"IP023272466BR","05/08/2018",269
"IP023272470BR","05/08/2018",269
"IP023272483BR","05/08/2018",270
"IP023272497BR","05/08/2018",270
"IP023272506BR","05/08/2018",270
"IP023272510BR","05/08/2018",271
"IP023272523BR","05/08/2018",271
"IP023272537BR","05/08/2018",272
"IP023272545BR","05/08/2018",272
"IP023272554BR","05/08/2018",273
"IP023272568BR","05/08/2018",274
"IP023272571BR","05/08/2018",274
"IP023272585BR","05/08/2018",274
"IP023272599BR","05/08/2018",274
"IP023272608BR","05/08/2018",275
"IP023272611BR","05/08/2018",276
"IP023272625BR","05/08/2018",276
"IP023272639BR","05/08/2018",276
"IP023272642BR","05/08/2018",277
"IP023272656BR","05/08/2018",277
"IP023272660BR","05/08/2018",278
"IP023272673BR","05/08/2018",279
"IP023272687BR","05/08/2018",279
"IP023272695BR","05/08/2018",279
"IP023272700BR","05/08/2018",280
"IP023272713BR","05/08/2018",280
"IP023272727BR","05/08/2018",281
"IP023272735BR","05/08/2018",281
"IP023272744BR","05/08/2018",281
"IP023272758BR","05/08/2018",282
"IP023272761BR","05/08/2018",282
"IP023272775BR","05/08/2018",282
"IP023272789BR","05/08/2018",283
"IP023272792BR","05/08/2018",283
"IP023272801BR","05/08/2018",284
"IP023272815BR","05/08/2018",284
"IP023272829BR","05/08/2018",285
"IP023272832BR","05/08/2018",285
"IP023272846BR","05/08/2018",286
"IP023272850BR","05/08/2018",286
"IP023272863BR","05/08/2018",286
"IP023272877BR","05/08/2018",287
"IP023272885BR","05/08/2018",287
"IP023272894BR","05/08/2018",288
"IP023272903BR","05/08/2018",288
"IP023272917BR","05/08/2018",253
"IP023272925BR","05/08/2018",253
"IP023272934BR","05/08/2018",254
"IP023272948BR","05/08/2018",255
"IP023272951BR","05/08/2018",255
"IP023272965BR","05/08/2018",255
"IP023272979BR","05/08/2018",256
"IP023272982BR","05/08/2018",257
"IP023272996BR","05/08/2018",258
"IP023273002BR","05/08/2018",259
"IP023273016BR","05/08/2018",260
"IP023273020BR","05/08/2018",261
"IP023273033BR","05/08/2018",261
"IP023273047BR","05/08/2018",261
"IP023273055BR","05/08/2018",262
"IP023273064BR","05/08/2018",262
"IP023273078BR","05/08/2018",262
"IP023273081BR","05/08/2018",263
"IP023273095BR","05/08/2018",263
"IP023273104BR","05/08/2018",264
"IP023273118BR","05/08/2018",265
"IP023273121BR","05/08/2018",265
"IP023273135BR","05/08/2018",266
"IP023273149BR","05/08/2018",266
"IP023273152BR","05/08/2018",267
"IP023273166BR","05/08/2018",267
"IP023273170BR","05/08/2018",268
"IP023273183BR","05/08/2018",268
"IP023273197BR","05/08/2018",268
"IP023273206BR","05/08/2018",269
"IP023273210BR","05/08/2018",269
"IP023273223BR","05/08/2018",269
"IP023273237BR","05/08/2018",270
"IP023273245BR","05/08/2018",270
"IP023273254BR","05/08/2018",270
"IP023273268BR","05/08/2018",271
"IP023273271BR","05/08/2018",271
"IP023273285BR","05/08/2018",272
"IP023273299BR","05/08/2018",272
"IP023273308BR","05/08/2018",273
"IP023273311BR","05/08/2018",274
"IP023273325BR","05/08/2018",274
"IP023273339BR","05/08/2018",274
"IP023273342BR","05/08/2018",274
"IP023273356BR","05/08/2018",275
"IP023273360BR","05/08/2018",276
"IP023273373BR","05/08/2018",276
"IP023273387BR","05/08/2018",276
"IP023273395BR","05/08/2018",277
"IP023273400BR","05/08/2018",277
"IP023273413BR","05/08/2018",278
"IP023273427BR","05/08/2018",279
"IP023273435BR","05/08/2018",279
"IP023273444BR","05/08/2018",279
"IP023273458BR","05/08/2018",280
"IP023273461BR","05/08/2018",280
"IP023273475BR","05/08/2018",281
"IP023273489BR","05/08/2018",281
"IP023273492BR","05/08/2018",281
"IP023273501BR","05/08/2018",282
"IP023273515BR","05/08/2018",282
"IP023273529BR","05/08/2018",282
"IP023273532BR","05/08/2018",283
"IP023273546BR","05/08/2018",283
"IP023273550BR","05/08/2018",284
"IP023273563BR","05/08/2018",284
"IP023273577BR","05/08/2018",285
"IP023273585BR","05/08/2018",286
"IP023273594BR","05/08/2018",286
"IP023273603BR","05/08/2018",287
"IP023273617BR","05/08/2018",287
"IP023273625BR","05/08/2018",288
"IP023273634BR","05/08/2018",288
"IP023450586BR","05/08/2018",2415
"IP023450590BR","05/08/2018",2415
"IP023450609BR","05/08/2018",2416
"IP023450612BR","05/08/2018",2416
"IP023450626BR","05/08/2018",2416
"IP023450630BR","05/08/2018",2416
"IP023450643BR","05/08/2018",2416
