GEO_ID;DESTINATARIO;CENTRALIZADORA;BAIRRO;CIDADE;SE;LATITUDE;LONGITUDE
253;ESCOLA PROF VICENTE MONTEIRO - PRÉDIO: A;01_PE_CRU;NOSSA SENHORA DAS DORES;CARUARU;PE;-8,2840157;-35,9658382
254;ESCOLA PROF VICENTE MONTEIRO - PRÉDIO: B;01_PE_CRU;NOSSA SENHORA DAS DORES;CARUARU;PE;-8,2840157;-35,9658382
255;EREM PE ZACARIAS TAVARES - PRÉDIO: PRINCIPAL;01_PE_CRU;SALGADO;CARUARU;PE;-8,2751046;-35,9635706
256;EREM DOM MIGUEL DE LIMA VALVERDE - PRÉDIO: A;01_PE_CRU;VASSORAL;CARUARU;PE;-8,2946992;-35,9690543
257;EREM DOM MIGUEL DE LIMA VALVERDE - PRÉDIO: B;01_PE_CRU;VASSORAL;CARUARU;PE;-8,2946992;-35,9690543
258;EREM DOM MIGUEL DE LIMA VALVERDE - PRÉDIO: C;01_PE_CRU;VASSORAL;CARUARU;PE;-8,2946992;-35,9690543
259;EE PROF ADELIA LEAL - PRÉDIO: A;01_PE_CRU;PETROPOLIS;CARUARU;PE;-8,2970629;-35,9740545
260;ESCOLA PROF ELISETE LOPES - PRÉDIO: A;01_PE_CRU;CAIUCA;CARUARU;PE;-8,284528;-35,991847
261;ESCOLA PROF ELISETE LOPES - PRÉDIO: B;01_PE_CRU;CAIUCA;CARUARU;PE;-8,284528;-35,991847
262;EE SIMOA GOMES - PRÉDIO: PRINCIPAL;01_PE_GRS;BOA VISTA;GARANHUNS;PE;-8,9050826;-36,4802032
263;EREM DOM JOAO DA MATA AMARAL - PRÉDIO: PRINCIPAL;01_PE_GRS;BOA VISTA;GARANHUNS;PE;-8,899454;-36,494872
264;EREM DOM MALAN - PRÉDIO: PRINCIPAL;01_PE_PNZ;CENTRO;PETROLINA;PE;-9,386817;-40,49394
265;EE OSA SANTANA DE CARVALHO - PRÉDIO: PRINCIPAL;01_PE_PNZ;COHAB IV;PETROLINA;PE;-9,3807047;-40,5349762
